id,id_client,id_product,qtd,total,sale_date,name,actual_category,price,full_name,cidade,estado,custo_atual_usd
27,23,97,4,541340.0,2023-04-15,Motor De Popa Tohatsu Evo 168Hp,Propulsao,135335.07,Bruna Mendonça Rodrigues,Santos,SP,25607.88
28,41,60,12,1239762.35,2023-03-20,Motor De Popa Honda Velocity Drift 258Hp,Propulsao,108751.09,Pedro Ribeiro Costa Santos Correia,Aratu,BA,19261.28
29,26,109,7,4359.0,2024-03-24,Cabo De Nylon Danforth Evo Aqua Mako,Ancoragem,622.7,Luiz Borges Gomes Araújo,Manaus,AM,109.49
30,38,35,15,165083.0,2023-07-18,Radar Furuno Swift,Eletronicos,11005.53,Mateus Antunes,Fortaleza Do Tabocão,TO,2069.49
31,41,91,13,1665842.1,2023-03-20,Motor Elétrico Tohatsu Zenith Oceanic 113Hp,Propulsao,134886.02,Pedro Ribeiro Costa Santos Correia,Aratu,BA,27671.77
32,43,40,11,156024.0,2023-11-02,Sonda Furuno Maré Tidal,Eletronicos,14184.04,Jéssica Farias Cunha,Itaqui,MA,2867.26
33,4,92,8,710833.0,2023-07-26,Motor Elétrico Yamaha Nautic Kraken 133Hp,Propulsao,88854.1,Thiago Moreira,Rio Branco,AC,16239.74
34,28,73,3,429480.0,2023-11-05,Motor De Popa Torqeedo Core Hydra Flux 162Hp,Propulsao,143159.93,Bianca Rodrigues,Antonina,PR,25987.97
35,33,35,10,110055.0,2024-04-02,Radar Furuno Swift,Eletronicos,11005.53,Diego Costa Guedes Cunha,Rio Grande,RS,2069.49
36,18,136,7,13123.3,2023-11-24,Cabo De Nylon Bruce Flux Hydro,Ancoragem,1973.5,Adriana Guedes Borges Alves Rocha,Santarém,PA,390.62
37,24,32,13,162532.0,2023-08-29,Sonda Ais Impulse Oceanic Zenith,Eletronicos,12502.46,Carla Peixoto Azevedo Silva Araújo,Laguna,SC,2310.61
38,38,87,9,601739.0,2024-04-30,Motor Elétrico Volvo Boost 225Hp,Propulsao,66859.9,Mateus Antunes,Fortaleza Do Tabocão,TO,13597.7
39,13,71,8,989322.4,2024-10-16,Motor Elétrico Torqeedo Pulse 300Hp,Propulsao,130174.06,Carlos Guimarães Martins,Santarém,PA,23100.17
40,27,116,5,12878.0,2023-09-09,Cabo De Nylon Delta Velocity Oceanic Abyss,Ancoragem,2575.52,Flávia Nunes Martins Ribeiro Coelho,Salvador,BA,502.24
41,46,34,3,14753.0,2024-06-04,Transponder Ais Helix Torque,Eletronicos,4917.53,Ana Silva Costa Farias Coelho,Macapá,AP,951.66
42,1,6,12,141843.0,2023-08-12,Transponder Ais Vector,Eletronicos,11820.21,Femininos Oliveira Antunes,Aratu,BA,2086.5
43,11,70,14,480976.0,2023-08-10,Motor Diesel Parsun Boost Helix Velocity 146Hp,Propulsao,34355.43,Victor Torres Monteiro,Porto Seguro,BA,6164.29
44,39,81,8,928328.6,2024-12-03,Motor Elétrico Torqeedo Barracuda Magnum Helix 101Hp,Propulsao,122148.49,Renata Oliveira Siqueira,Suape,PE,21775.68
45,22,149,11,12160.0,2024-09-12,Cabo De Nylon Bruce Core,Ancoragem,1163.62,Daniela Borges Vieira Farias Mendonça,Aracaju,SE,225.94
46,25,120,5,15622.0,2023-12-15,Boia De Arqueamento Danforth Flux Tidal,Ancoragem,3124.49,Femininos Antunes Lopes Ribeiro Amaral,São Mateus,ES,635.45
47,4,60,15,1631266.0,2024-02-04,Motor De Popa Honda Velocity Drift 258Hp,Propulsao,108751.09,Thiago Moreira,Rio Branco,AC,19261.28
48,13,54,15,1823022.0,2024-05-30,Motor De Popa Yamaha Evo Dash 155Hp,Propulsao,121534.82,Carlos Guimarães Martins,Santarém,PA,23191.9
49,14,74,7,575614.5,2024-08-29,Motor De Popa Honda Torque 228Hp,Propulsao,86558.56,Gabriela Silva Vieira Amaral,Itacoatiara,AM,15698.25
50,8,19,15,246485.0,2023-12-26,Sonda Lowrance Tidal Storm Vox,Eletronicos,16432.35,Luiz Alves Pimentel,Aracaju,SE,2847.65
51,2,52,4,54816.0,2024-08-28,Motor Diesel Honda Zen Tidal Mako 26Hp,Propulsao,13704.1,Fernanda Azevedo Soares Nunes Vieira,Recife,PE,2588.32
52,45,106,13,57003.0,2024-03-16,Âncora Danforth Nitro Titan Vox,Ancoragem,4384.87,Amanda Santos Figueiredo Rodrigues Siqueira,Santarém,PA,820.98
53,2,25,12,145518.0,2024-03-10,Rádio Lowrance Nitro Thrust Barracuda,Eletronicos,12126.46,Fernanda Azevedo Soares Nunes Vieira,Recife,PE,2204.09
54,27,144,4,8857.0,2024-09-30,Boia De Arqueamento Bruce Barracuda,Ancoragem,2214.14,Flávia Nunes Martins Ribeiro Coelho,Salvador,BA,402.54
55,35,54,3,346373.8,2024-11-24,Motor De Popa Yamaha Evo Dash 155Hp,Propulsao,121534.82,Priscila Martins,João Pessoa,PB,23191.9
56,1,125,13,44227.0,2024-03-11,Cabo De Nylon Danforth Kinetic,Ancoragem,3402.07,Femininos Oliveira Antunes,Aratu,BA,646.27
57,40,110,11,27451.0,2023-07-17,Corrente Bruce Current,Ancoragem,2495.51,Lucas Pacheco,Corumbá,MS,443.85
58,46,45,2,19807.0,2024-08-22,Gps Furuno Current,Eletronicos,9903.71,Ana Silva Costa Farias Coelho,Macapá,AP,1750.24
60,11,49,14,176415.0,2024-03-20,Sonda Furuno Swift,Eletronicos,13264.25,Victor Torres Monteiro,Porto Seguro,BA,2352.61
61,28,56,8,326714.5,2024-09-05,Motor Elétrico Torqeedo Velocity Swift 74Hp,Propulsao,42988.77,Bianca Rodrigues,Antonina,PR,7374.35
62,10,113,15,62627.8,2024-05-18,Âncora Delta Mako Ultra,Ancoragem,4394.96,Débora Paiva,Santarém,PA,750.6
63,43,42,15,85398.35,2024-01-27,Transponder Lowrance Axis,Eletronicos,5992.84,Jéssica Farias Cunha,Itaqui,MA,1263.57
64,24,106,13,57003.0,2023-10-17,Âncora Danforth Nitro Titan Vox,Ancoragem,4384.87,Carla Peixoto Azevedo Silva Araújo,Laguna,SC,820.98
65,21,4,7,22489.35,2024-10-14,Rádio Ais Hydro Tidal Zen,Eletronicos,3381.88,Sandra Rocha Oliveira Soares Peixoto,Rio Branco,AC,583.85
66,33,114,9,7194.0,2024-10-12,Boia De Arqueamento Danforth Tidal Zen Swift,Ancoragem,799.29,Diego Costa Guedes Cunha,Rio Grande,RS,152.46
67,18,85,3,109949.2,2024-02-04,Motor De Popa Parsun Impulse 162Hp,Propulsao,38578.7,Adriana Guedes Borges Alves Rocha,Santarém,PA,6351.97
68,43,139,9,12824.0,2024-01-16,Boia De Arqueamento Danforth Torque,Ancoragem,1424.88,Jéssica Farias Cunha,Itaqui,MA,246.89
69,34,139,8,11399.0,2023-09-18,Boia De Arqueamento Danforth Torque,Ancoragem,1424.88,Victor Vieira Nunes Cunha,Fortaleza,CE,246.89
70,4,98,13,980110.25,2023-08-13,Motor Diesel Parsun Velocity Abyss Orca 235Hp,Propulsao,79361.13,Thiago Moreira,Rio Branco,AC,12866.8
71,43,70,5,163188.15,2023-09-09,Motor Diesel Parsun Boost Helix Velocity 146Hp,Propulsao,34355.43,Jéssica Farias Cunha,Itaqui,MA,6164.29
72,16,48,2,29473.0,2024-08-10,Gps Furuno Magnum Drift,Eletronicos,14736.35,Renata Pacheco Cardoso,Fortaleza,CE,2715.28
73,24,10,3,91294.05,2024-12-20,Piloto Automático Simrad Titan Flux Magnum,Eletronicos,32033.04,Carla Peixoto Azevedo Silva Araújo,Laguna,SC,6021.02
74,45,54,11,1270038.85,2024-09-25,Motor De Popa Yamaha Evo Dash 155Hp,Propulsao,121534.82,Amanda Santos Figueiredo Rodrigues Siqueira,Santarém,PA,23191.9
75,38,91,10,1348860.0,2024-09-21,Motor Elétrico Tohatsu Zenith Oceanic 113Hp,Propulsao,134886.02,Mateus Antunes,Fortaleza Do Tabocão,TO,27671.77
76,28,18,14,353413.3,2024-03-07,Rádio Simrad Axis,Eletronicos,26572.45,Bianca Rodrigues,Antonina,PR,5018.78
77,6,110,2,4741.45,2024-12-13,Corrente Bruce Current,Ancoragem,2495.51,Antônia Coelho Pinheiro Peixoto Cavalcanti,Fortaleza Do Tabocão,TO,443.85
78,43,105,7,2167.0,2024-08-13,Cabo De Nylon Danforth Prime,Ancoragem,309.54,Jéssica Farias Cunha,Itaqui,MA,53.37
79,10,12,13,35440.0,2024-12-31,Gps Ais Drift Flux Vox,Eletronicos,2726.18,Débora Paiva,Santarém,PA,491.85
80,46,13,6,46483.0,2024-03-06,Radar Simrad Boost,Eletronicos,7747.1,Ana Silva Costa Farias Coelho,Macapá,AP,1356.5
81,28,82,10,490523.0,2024-04-11,Motor Elétrico Volvo Nautic Vox 118Hp,Propulsao,51634.04,Bianca Rodrigues,Antonina,PR,9640.23
82,33,32,9,106895.9,2024-07-11,Sonda Ais Impulse Oceanic Zenith,Eletronicos,12502.46,Diego Costa Guedes Cunha,Rio Grande,RS,2310.61
83,17,123,5,13190.75,2023-04-03,Cabo De Nylon Danforth Orca Aero,Ancoragem,2777.07,Luís Paiva Costa Cardoso Coelho,Corumbá,MS,490.63
84,25,35,1,10455.7,2023-05-01,Radar Furuno Swift,Eletronicos,11005.53,Femininos Antunes Lopes Ribeiro Amaral,São Mateus,ES,2069.49
85,18,80,7,904567.0,2024-09-05,Motor De Popa Volvo Maré 69Hp,Propulsao,129223.84,Adriana Guedes Borges Alves Rocha,Santarém,PA,24126.48
86,15,145,8,34799.0,2023-06-02,Boia De Arqueamento Delta Nexus,Ancoragem,4349.86,Carla Lopes Alves Pacheco Rocha,Fortaleza Do Tabocão,TO,718.09
87,7,20,14,431668.0,2023-11-24,Radar Ais Marlin,Eletronicos,30833.44,Bianca Barros Rocha Torres Siqueira,Cabedelo,PB,5689.04
88,29,147,5,15150.0,2024-03-11,Corrente Danforth Force Leviathan Impulse,Ancoragem,3030.08,Gabriela Moraes Macedo Nunes,Fortaleza,CE,592.19
89,30,75,8,262147.0,2023-12-21,Motor Diesel Volvo Flow Leviathan Maré 187Hp,Propulsao,32768.38,Victor Araújo Azevedo Tavares Correia,Itacoatiara,AM,5924.6
90,2,72,3,284044.3,2024-07-22,Motor De Popa Volvo Hydro Dash 256Hp,Propulsao,99664.64,Fernanda Azevedo Soares Nunes Vieira,Recife,PE,17083.12
91,23,36,15,339021.0,2023-01-06,Radar Lowrance Aqua Pulse,Eletronicos,22601.39,Bruna Mendonça Rodrigues,Santos,SP,4077.69
92,40,2,7,93087.65,2023-04-19,Transponder Furuno Marlin,Eletronicos,13998.15,Lucas Pacheco,Corumbá,MS,2602.27
93,37,113,11,45927.75,2023-01-11,Âncora Delta Mako Ultra,Ancoragem,4394.96,Jéssica Pimentel Borges Nunes Teixeira,Itaqui,MA,750.6
94,36,90,8,632779.0,2023-08-02,Motor De Popa Yamaha Thrust Marlin Nexus 182Hp,Propulsao,79097.33,Francisca Ribeiro Pinheiro,Belém,PA,14467.08
95,25,131,12,11563.0,2024-12-17,Boia De Arqueamento Danforth Core Vortex,Ancoragem,963.59,Femininos Antunes Lopes Ribeiro Amaral,São Mateus,ES,175.62
96,11,82,8,392418.4,2023-08-22,Motor Elétrico Volvo Nautic Vox 118Hp,Propulsao,51634.04,Victor Torres Monteiro,Porto Seguro,BA,9640.23
97,25,48,2,29473.0,2024-09-18,Gps Furuno Magnum Drift,Eletronicos,14736.35,Femininos Antunes Lopes Ribeiro Amaral,São Mateus,ES,2715.28
98,21,142,2,1570.35,2024-02-13,Âncora Danforth Vector Evo,Ancoragem,826.41,Sandra Rocha Oliveira Soares Peixoto,Rio Branco,AC,155.62
99,49,81,9,1099336.0,2024-01-06,Motor Elétrico Torqeedo Barracuda Magnum Helix 101Hp,Propulsao,122148.49,Diego Costa Tavares Antunes,Aracaju,SE,21775.68
100,22,93,4,381812.6,2023-01-21,Motor Elétrico Yamaha Flow 204Hp,Propulsao,100477.01,Daniela Borges Vieira Farias Mendonça,Aracaju,SE,18414.19
101,11,47,8,48984.0,2024-07-04,Rádio Simrad Tidal Aqua,Eletronicos,6122.96,Victor Torres Monteiro,Porto Seguro,BA,1159.34
102,9,67,9,733495.95,2024-02-02,Motor De Popa Yamaha Mako 108Hp,Propulsao,85789.05,Lucas Guedes Cunha Lopes,João Pessoa,PB,16720.73
103,36,146,5,2356.0,2023-04-12,Corrente Delta Vox Ion,Ancoragem,495.98,Francisca Ribeiro Pinheiro,Belém,PA,82.88
104,11,24,11,242776.3,2024-03-02,Gps Ais Orca Marlin Velocity,Eletronicos,23232.18,Victor Torres Monteiro,Porto Seguro,BA,4378.72
105,23,77,6,254816.6,2023-10-31,Motor Diesel Tohatsu Vector 197Hp,Propulsao,44704.67,Bruna Mendonça Rodrigues,Santos,SP,8050.4
106,48,143,8,35491.0,2023-03-29,Âncora Delta Hydra Kraken Velocity,Ancoragem,4436.43,Letícia Torres Peixoto Oliveira,Suape,PE,836.16
107,38,98,8,634889.0,2024-08-10,Motor Diesel Parsun Velocity Abyss Orca 235Hp,Propulsao,79361.13,Mateus Antunes,Fortaleza Do Tabocão,TO,12866.8
108,4,139,6,8121.55,2023-01-19,Boia De Arqueamento Danforth Torque,Ancoragem,1424.88,Thiago Moreira,Rio Branco,AC,246.89
109,39,96,7,494346.0,2024-09-18,Motor De Popa Tohatsu Boost Swift 126Hp,Propulsao,70620.84,Renata Oliveira Siqueira,Suape,PE,14776.4
110,34,148,8,38284.0,2024-10-27,Âncora Delta Force Barracuda Mako,Ancoragem,4785.56,Victor Vieira Nunes Cunha,Fortaleza,CE,860.42
111,28,32,10,125025.0,2023-03-06,Sonda Ais Impulse Oceanic Zenith,Eletronicos,12502.46,Bianca Rodrigues,Antonina,PR,2310.61
112,37,100,9,894331.9,2024-11-12,Motor Elétrico Honda Vector Abyss 220Hp,Propulsao,104600.24,Jéssica Pimentel Borges Nunes Teixeira,Itaqui,MA,19604.58
113,28,28,9,121910.65,2024-06-12,Piloto Automático Ais Core,Eletronicos,14258.56,Bianca Rodrigues,Antonina,PR,2630.15
114,12,75,5,163842.0,2023-05-03,Motor Diesel Volvo Flow Leviathan Maré 187Hp,Propulsao,32768.38,Rafael Pereira Barros,Fortaleza Do Tabocão,TO,5924.6
115,27,85,1,36650.05,2023-10-08,Motor De Popa Parsun Impulse 162Hp,Propulsao,38578.7,Flávia Nunes Martins Ribeiro Coelho,Salvador,BA,6351.97
116,7,130,3,11810.4,2023-03-19,Boia De Arqueamento Delta Zen Boost Vortex,Ancoragem,4144.09,Bianca Barros Rocha Torres Siqueira,Cabedelo,PB,752.23
117,27,18,3,75731.15,2023-06-03,Rádio Simrad Axis,Eletronicos,26572.45,Flávia Nunes Martins Ribeiro Coelho,Salvador,BA,5018.78
118,18,122,10,13225.0,2023-07-22,Corrente Danforth Zenith Oceanic Torque,Ancoragem,1322.47,Adriana Guedes Borges Alves Rocha,Santarém,PA,222.63
119,46,80,1,129224.0,2023-08-04,Motor De Popa Volvo Maré 69Hp,Propulsao,129223.84,Ana Silva Costa Farias Coelho,Macapá,AP,24126.48
120,6,81,15,1832227.0,2023-06-17,Motor Elétrico Torqeedo Barracuda Magnum Helix 101Hp,Propulsao,122148.49,Antônia Coelho Pinheiro Peixoto Cavalcanti,Fortaleza Do Tabocão,TO,21775.68
121,25,132,13,20319.0,2024-02-14,Corrente Bruce Nautic Evo,Ancoragem,1562.97,Femininos Antunes Lopes Ribeiro Amaral,São Mateus,ES,282.75
122,8,128,10,44181.65,2023-03-09,Boia De Arqueamento Bruce Marlin Hydra,Ancoragem,4650.72,Luiz Alves Pimentel,Aracaju,SE,850.07
123,10,106,6,24993.55,2023-06-15,Âncora Danforth Nitro Titan Vox,Ancoragem,4384.87,Débora Paiva,Santarém,PA,820.98
124,21,43,3,105291.0,2023-05-18,Sonda Ais Barracuda,Eletronicos,35096.86,Sandra Rocha Oliveira Soares Peixoto,Rio Branco,AC,6577.74
125,44,112,11,23990.0,2024-08-23,Corrente Danforth Tidal,Ancoragem,2180.95,Rafael Paiva Vieira,Paranaguá,PR,404.31
126,29,80,5,613813.05,2024-07-14,Motor De Popa Volvo Maré 69Hp,Propulsao,129223.84,Gabriela Moraes Macedo Nunes,Fortaleza,CE,24126.48
127,26,55,7,769910.0,2024-02-09,Motor Diesel Volvo Flow Oceanic 259Hp,Propulsao,109987.2,Luiz Borges Gomes Araújo,Manaus,AM,22138.68
128,1,53,14,751450.0,2023-03-24,Motor Elétrico Torqeedo Zen Titan Hydra 129Hp,Propulsao,53675.01,Femininos Oliveira Antunes,Aratu,BA,10044.16
129,3,82,11,567974.0,2024-02-26,Motor Elétrico Volvo Nautic Vox 118Hp,Propulsao,51634.04,Daniel Farias Ribeiro Teixeira,Rio Grande,RS,9640.23
130,15,123,2,5554.0,2024-12-18,Cabo De Nylon Danforth Orca Aero,Ancoragem,2777.07,Carla Lopes Alves Pacheco Rocha,Fortaleza Do Tabocão,TO,490.63
132,3,5,12,284028.0,2024-10-15,Piloto Automático Furuno Storm,Eletronicos,23669.01,Daniel Farias Ribeiro Teixeira,Rio Grande,RS,4285.3
133,34,122,2,2512.75,2024-11-13,Corrente Danforth Zenith Oceanic Torque,Ancoragem,1322.47,Victor Vieira Nunes Cunha,Fortaleza,CE,222.63
134,7,18,7,176706.65,2023-01-11,Rádio Simrad Axis,Eletronicos,26572.45,Bianca Barros Rocha Torres Siqueira,Cabedelo,PB,5018.78
135,14,22,11,433981.0,2024-09-26,Transponder Furuno Force Ion,Eletronicos,39452.86,Gabriela Silva Vieira Amaral,Itacoatiara,AM,7104.66
136,16,70,10,343554.0,2023-03-02,Motor Diesel Parsun Boost Helix Velocity 146Hp,Propulsao,34355.43,Renata Pacheco Cardoso,Fortaleza,CE,6164.29
137,17,62,5,511110.0,2024-11-14,Motor Diesel Yanmar Velocity 37Hp,Propulsao,102221.97,Luís Paiva Costa Cardoso Coelho,Corumbá,MS,20000.78
138,45,86,4,355388.35,2023-06-11,Motor Diesel Volvo Helix Evo Force 144Hp,Propulsao,93523.13,Amanda Santos Figueiredo Rodrigues Siqueira,Santarém,PA,16841.61
139,38,123,1,2638.15,2024-12-22,Cabo De Nylon Danforth Orca Aero,Ancoragem,2777.07,Mateus Antunes,Fortaleza Do Tabocão,TO,490.63
140,20,83,5,640318.05,2024-05-29,Motor Diesel Yanmar Dash Nitro 184Hp,Propulsao,134803.88,Bruno Silva,Santarém Novo,PA,25272.57
141,29,127,5,7359.65,2024-06-15,Cabo De Nylon Delta Velocity Core Mako,Ancoragem,1549.35,Gabriela Moraes Macedo Nunes,Fortaleza,CE,281.15
142,9,34,5,24588.0,2024-12-28,Transponder Ais Helix Torque,Eletronicos,4917.53,Lucas Guedes Cunha Lopes,João Pessoa,PB,951.66
143,23,142,5,3925.4,2024-03-16,Âncora Danforth Vector Evo,Ancoragem,826.41,Bruna Mendonça Rodrigues,Santos,SP,155.62
144,27,116,4,10302.0,2024-01-15,Cabo De Nylon Delta Velocity Oceanic Abyss,Ancoragem,2575.52,Flávia Nunes Martins Ribeiro Coelho,Salvador,BA,502.24
145,3,122,12,15076.5,2023-10-16,Corrente Danforth Zenith Oceanic Torque,Ancoragem,1322.47,Daniel Farias Ribeiro Teixeira,Rio Grande,RS,222.63
146,11,70,10,343554.0,2023-12-26,Motor Diesel Parsun Boost Helix Velocity 146Hp,Propulsao,34355.43,Victor Torres Monteiro,Porto Seguro,BA,6164.29
147,24,129,1,3102.7,2023-07-01,Corrente Delta Boost,Ancoragem,3266.21,Carla Peixoto Azevedo Silva Araújo,Laguna,SC,599.77
148,13,111,15,61064.1,2024-09-06,Boia De Arqueamento Danforth Aero Dash,Ancoragem,4285.23,Carlos Guimarães Martins,Santarém,PA,860.37
149,7,57,1,112851.45,2024-07-13,Motor De Popa Honda Vector Kinetic 174Hp,Propulsao,118790.57,Bianca Barros Rocha Torres Siqueira,Cabedelo,PB,20486.78
150,5,114,13,9871.45,2024-04-06,Boia De Arqueamento Danforth Tidal Zen Swift,Ancoragem,799.29,Pedro Freitas,Santarém Novo,PA,152.46
151,45,39,6,177797.0,2023-12-15,Gps Furuno Vector,Eletronicos,29632.83,Amanda Santos Figueiredo Rodrigues Siqueira,Santarém,PA,5270.87
152,27,82,8,413072.0,2023-06-06,Motor Elétrico Volvo Nautic Vox 118Hp,Propulsao,51634.04,Flávia Nunes Martins Ribeiro Coelho,Salvador,BA,9640.23
153,48,30,11,336990.65,2023-12-30,Transponder Ais Boost,Eletronicos,32247.87,Letícia Torres Peixoto Oliveira,Suape,PE,6558.44
154,22,137,10,32162.25,2024-02-17,Âncora Danforth Impulse,Ancoragem,3385.47,Daniela Borges Vieira Farias Mendonça,Aracaju,SE,632.89
155,12,21,9,78611.0,2024-06-22,Gps Ais Nautic Thrust,Eletronicos,8734.56,Rafael Pereira Barros,Fortaleza Do Tabocão,TO,1653.83
156,11,44,13,133464.55,2024-10-22,Gps Simrad Zen Hydra Peak,Eletronicos,10806.84,Victor Torres Monteiro,Porto Seguro,BA,1995.06
157,48,17,1,13337.05,2024-04-24,Rádio Ais Oceanic Pulse,Eletronicos,14038.78,Letícia Torres Peixoto Oliveira,Suape,PE,2833.14
158,9,138,5,19869.25,2024-11-27,Boia De Arqueamento Delta Peak Boost Thrust,Ancoragem,4183.05,Lucas Guedes Cunha Lopes,João Pessoa,PB,741.89
159,24,66,15,188574.0,2024-07-03,Motor De Popa Tohatsu Poseidon Helix Prime 135Hp,Propulsao,12571.63,Carla Peixoto Azevedo Silva Araújo,Laguna,SC,2194.88
160,8,121,11,40637.0,2023-05-27,Âncora Danforth Oceanic Helix Flux,Ancoragem,3694.27,Luiz Alves Pimentel,Aracaju,SE,640.2
161,19,126,8,21416.0,2024-09-09,Corrente Danforth Hydro,Ancoragem,2677.06,Renata Lima Gomes Coelho Mendonça,Maceió,AL,467.05
162,12,147,15,43178.45,2024-06-25,Corrente Danforth Force Leviathan Impulse,Ancoragem,3030.08,Rafael Pereira Barros,Fortaleza Do Tabocão,TO,592.19
163,4,70,7,228463.6,2023-03-09,Motor Diesel Parsun Boost Helix Velocity 146Hp,Propulsao,34355.43,Thiago Moreira,Rio Branco,AC,6164.29
164,23,9,5,198528.0,2023-09-14,Transponder Ais Titan Pulse,Eletronicos,39705.5,Bruna Mendonça Rodrigues,Santos,SP,7258.64
165,23,27,8,125487.4,2023-12-28,Gps Garmin Vortex Maré Drift,Eletronicos,16511.45,Bruna Mendonça Rodrigues,Santos,SP,3026.01
166,28,111,2,8570.0,2023-02-17,Boia De Arqueamento Danforth Aero Dash,Ancoragem,4285.23,Bianca Rodrigues,Antonina,PR,860.37
167,19,122,11,13819.65,2024-08-22,Corrente Danforth Zenith Oceanic Torque,Ancoragem,1322.47,Renata Lima Gomes Coelho Mendonça,Maceió,AL,222.63
168,48,7,6,111257.35,2024-10-05,Radar Ais Zen,Eletronicos,19518.77,Letícia Torres Peixoto Oliveira,Suape,PE,3604.64
169,23,101,2,927.0,2023-01-24,Cabo De Nylon Delta Vortex,Ancoragem,463.4,Bruna Mendonça Rodrigues,Santos,SP,82.84
170,16,116,1,2576.0,2023-12-30,Cabo De Nylon Delta Velocity Oceanic Abyss,Ancoragem,2575.52,Renata Pacheco Cardoso,Fortaleza,CE,502.24
171,8,24,12,278786.0,2023-12-22,Gps Ais Orca Marlin Velocity,Eletronicos,23232.18,Luiz Alves Pimentel,Aracaju,SE,4378.72
